,tarih,id,ürün,ürün besin değeri,ürün kategorisi,ürün üretim yeri,market,şehir,Price,yillik tufe,aylık tufe
31,2021-01-01,31,Semizotu,32,sebze ve bakliyat,Yurt içi,M,A,7.4392,14.97,1.68
32,2021-01-01,32,Buğday ekmeği,247,tahıl ve ürünleri,Yurt içi,M,A,7.4392,14.97,1.68
33,2021-01-01,33,Bulgur,350,tahıl ve ürünleri,Yurt içi,M,A,7.4392,14.97,1.68
34,2021-01-01,34,Erişte,390,tahıl ve ürünleri,Yurt içi,M,A,7.4392,14.97,1.68
35,2021-01-01,35,Makarna,390,tahıl ve ürünleri,Yurt içi,M,A,7.4392,14.97,1.68
36,2021-01-01,36,Mısır,351,tahıl ve ürünleri,Yurt içi,M,A,7.4392,14.97,1.68
37,2021-01-01,37,Mısır unu,353,tahıl ve ürünleri,Yurt içi,M,A,7.4392,14.97,1.68
38,2021-01-01,38,Nişasta,353,tahıl ve ürünleri,Yurt içi,M,A,7.4392,14.97,1.68
39,2021-01-01,39,Pilav,368,tahıl ve ürünleri,Yurt içi,M,A,7.4392,14.97,1.68
40,2021-01-01,40,Pirinç unu,353,tahıl ve ürünleri,Yurt içi,M,A,7.4392,14.97,1.68
41,2021-01-01,41,Şehriye,390,tahıl ve ürünleri,Yurt içi,M,A,7.4392,14.97,1.68
42,2021-01-01,42,Tarhana,329,tahıl ve ürünleri,Yurt içi,M,A,7.4392,14.97,1.68
43,2021-01-01,43,Yulaf unu,402,tahıl ve ürünleri,Yurt içi,M,A,7.4392,14.97,1.68
44,2021-01-01,44,yumurta,100,süt ürünleri ve kahvaltılık,Yurt içi,M,A,7.4392,14.97,1.68
45,2021-01-01,45,beyaz peynir,150,süt ürünleri ve kahvaltılık,Yurt içi,M,A,7.4392,14.97,1.68
46,2021-01-01,46,Kaşar peyniri,170,süt ürünleri ve kahvaltılık,Yurt içi,M,A,7.4392,14.97,1.68
47,2021-01-01,47,krema,200,süt ürünleri ve kahvaltılık,Yurt içi,M,A,7.4392,14.97,1.68
48,2021-01-01,48,yoğurt,90,süt ürünleri ve kahvaltılık,Yurt içi,M,A,7.4392,14.97,1.68
49,2021-01-01,49,sucuk,125,süt ürünleri ve kahvaltılık,Yurt içi,M,A,7.4392,14.97,1.68
50,2021-01-01,50,salam,125,süt ürünleri ve kahvaltılık,Yurt içi,M,A,7.4392,14.97,1.68
51,2021-01-01,51,sosis,120,süt ürünleri ve kahvaltılık,Yurt içi,M,A,7.4392,14.97,1.68
52,2021-01-01,52,tam buğday ekmek,250,süt ürünleri ve kahvaltılık,Yurt içi,M,A,7.4392,14.97,1.68
53,2021-01-01,53,kaymak,350,süt ürünleri ve kahvaltılık,Yurt içi,M,A,7.4392,14.97,1.68
54,2021-01-01,54,bal,400,süt ürünleri ve kahvaltılık,Yurt içi,M,A,7.4392,14.97,1.68
55,2021-01-01,55,tereyağ,375,süt ürünleri ve kahvaltılık,Yurt içi,M,A,7.4392,14.97,1.68
56,2021-01-01,56,Armut,57,meyve,Yurt içi,M,A,7.4392,14.97,1.68
57,2021-01-01,57,Çilek,39,meyve,Yurt içi,M,A,7.4392,14.97,1.68
58,2021-01-01,58,Elma,52,meyve,Yurt içi,M,A,7.4392,14.97,1.68
59,2021-01-01,59,Erik türleri,60,meyve,Yurt içi,M,A,7.4392,14.97,1.68
60,2021-01-01,60,İncir,80,meyve,Yurt içi,M,A,7.4392,14.97,1.68
61,2021-01-01,61,Karadut,93,meyve,Yurt içi,M,A,7.4392,14.97,1.68
62,2021-01-01,62,Karpuz,24,meyve,Yurt içi,M,A,7.4392,14.97,1.68
63,2021-01-01,63,Kavun,28,meyve,Yurt içi,M,A,7.4392,14.97,1.68
64,2021-01-01,64,Kayısı,54,meyve,Yurt içi,M,A,7.4392,14.97,1.68
65,2021-01-01,65,Kiraz,79,meyve,Yurt içi,M,A,7.4392,14.97,1.68
66,2021-01-01,66,Limon,17,meyve,Yurt içi,M,A,7.4392,14.97,1.68
67,2021-01-01,67,Mandalina,36,meyve,Yurt içi,M,A,7.4392,14.97,1.68
68,2021-01-01,68,Muz,90,meyve,Yurt içi,M,A,7.4392,14.97,1.68
69,2021-01-01,69,Nar,77,meyve,Yurt içi,M,A,7.4392,14.97,1.68
70,2021-01-01,70,Portakal,41,meyve,Yurt içi,M,A,7.4392,14.97,1.68
71,2021-01-01,71,Şeftali,49,meyve,Yurt içi,M,A,7.4392,14.97,1.68
72,2021-01-01,72,Üzüm,74,meyve,Yurt içi,M,A,7.4392,14.97,1.68
73,2021-01-01,73,Vişne,57,meyve,Yurt içi,M,A,7.4392,14.97,1.68
74,2021-01-01,74,fındık,110,kuruyemiş,Yurt içi,M,A,7.4392,14.97,1.68
75,2021-01-01,75,fıstık,115,kuruyemiş,Yurt içi,M,A,7.4392,14.97,1.68
76,2021-01-01,76,kaju,100,kuruyemiş,Yurt içi,M,A,7.4392,14.97,1.68
77,2021-01-01,77,badem,110,kuruyemiş,Yurt içi,M,A,7.4392,14.97,1.68
78,2021-01-01,78,ceviz,120,kuruyemiş,Yurt içi,M,A,7.4392,14.97,1.68
79,2021-01-01,79,kıyma,120,et,Yurt dışı,M,A,7.4392,14.97,1.68
80,2021-01-01,80,tavuk,103,et,Yurt dışı,M,A,7.4392,14.97,1.68
81,2021-01-01,81,hindi,160,et,Yurt dışı,M,A,7.4392,14.97,1.68
82,2021-01-01,82,Bakla-kuru,354,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
83,2021-01-01,83,Bakla-taze,72,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
84,2021-01-01,84,Bamya,42,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
85,2021-01-01,85,Barbunya-kuru,346,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
86,2021-01-01,86,Bezelye-taze,47,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
87,2021-01-01,87,Biber-yeşil,25,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
88,2021-01-01,88,Brüksel laha.,47,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
89,2021-01-01,89,Domates,25,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
90,2021-01-01,90,Enginar,63,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
91,2021-01-01,91,Fasulye-kuru,333,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
92,2021-01-01,92,Fasulye-taze,35,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
93,2021-01-01,93,Havuç,42,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
94,2021-01-01,94,Salatalık,8,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
95,2021-01-01,95,Ispanak,25,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
96,2021-01-01,96,Kabak,19,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
97,2021-01-01,97,Karnabahar,25,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
98,2021-01-01,98,Kereviz-baş,38,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
99,2021-01-01,99,Kırmızı-pancar,42,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
100,2021-01-01,100,Lahana,24,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
101,2021-01-01,101,Mantar,16,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
102,2021-01-01,102,Marul,15,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
103,2021-01-01,103,Mercimek-kuru,351,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
104,2021-01-01,104,Nohut,376,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
105,2021-01-01,105,Pancar,42,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
106,2021-01-01,106,Patates,83,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
107,2021-01-01,107,Patlıcan,24,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
108,2021-01-01,108,Pazı,27,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
109,2021-01-01,109,Pırasa,52,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
110,2021-01-01,110,Semizotu,32,sebze ve bakliyat,Yurt dışı,M,A,7.4392,14.97,1.68
111,2021-01-01,111,Buğday ekmeği,247,tahıl ve ürünleri,Yurt dışı,M,A,7.4392,14.97,1.68
112,2021-01-01,112,Bulgur,350,tahıl ve ürünleri,Yurt dışı,M,A,7.4392,14.97,1.68
113,2021-01-01,113,Erişte,390,tahıl ve ürünleri,Yurt dışı,M,A,7.4392,14.97,1.68
114,2021-01-01,114,Makarna,390,tahıl ve ürünleri,Yurt dışı,M,A,7.4392,14.97,1.68
115,2021-01-01,115,Mısır,351,tahıl ve ürünleri,Yurt dışı,M,A,7.4392,14.97,1.68
116,2021-01-01,116,Mısır unu,353,tahıl ve ürünleri,Yurt dışı,M,A,7.4392,14.97,1.68
117,2021-01-01,117,Nişasta,353,tahıl ve ürünleri,Yurt dışı,M,A,7.4392,14.97,1.68
118,2021-01-01,118,Pilav,368,tahıl ve ürünleri,Yurt dışı,M,A,7.4392,14.97,1.68
119,2021-01-01,119,Pirinç unu,353,tahıl ve ürünleri,Yurt dışı,M,A,7.4392,14.97,1.68
120,2021-01-01,120,Şehriye,390,tahıl ve ürünleri,Yurt dışı,M,A,7.4392,14.97,1.68
121,2021-01-01,121,Tarhana,329,tahıl ve ürünleri,Yurt dışı,M,A,7.4392,14.97,1.68
122,2021-01-01,122,Yulaf unu,402,tahıl ve ürünleri,Yurt dışı,M,A,7.4392,14.97,1.68
123,2021-01-01,123,yumurta,100,süt ürünleri ve kahvaltılık,Yurt dışı,M,A,7.4392,14.97,1.68
124,2021-01-01,124,beyaz peynir,150,süt ürünleri ve kahvaltılık,Yurt dışı,M,A,7.4392,14.97,1.68
125,2021-01-01,125,Kaşar peyniri,170,süt ürünleri ve kahvaltılık,Yurt dışı,M,A,7.4392,14.97,1.68
126,2021-01-01,126,krema,200,süt ürünleri ve kahvaltılık,Yurt dışı,M,A,7.4392,14.97,1.68
127,2021-01-01,127,yoğurt,90,süt ürünleri ve kahvaltılık,Yurt dışı,M,A,7.4392,14.97,1.68
128,2021-01-01,128,sucuk,125,süt ürünleri ve kahvaltılık,Yurt dışı,M,A,7.4392,14.97,1.68
129,2021-01-01,129,salam,125,süt ürünleri ve kahvaltılık,Yurt dışı,M,A,7.4392,14.97,1.68
130,2021-01-01,130,sosis,120,süt ürünleri ve kahvaltılık,Yurt dışı,M,A,7.4392,14.97,1.68
131,2021-01-01,131,tam buğday ekmek,250,süt ürünleri ve kahvaltılık,Yurt dışı,M,A,7.4392,14.97,1.68
132,2021-01-01,132,kaymak,350,süt ürünleri ve kahvaltılık,Yurt dışı,M,A,7.4392,14.97,1.68
133,2021-01-01,133,bal,400,süt ürünleri ve kahvaltılık,Yurt dışı,M,A,7.4392,14.97,1.68
134,2021-01-01,134,tereyağ,375,süt ürünleri ve kahvaltılık,Yurt dışı,M,A,7.4392,14.97,1.68
135,2021-01-01,135,Armut,57,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
136,2021-01-01,136,Çilek,39,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
137,2021-01-01,137,Elma,52,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
138,2021-01-01,138,Erik türleri,60,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
139,2021-01-01,139,İncir,80,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
140,2021-01-01,140,Karadut,93,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
141,2021-01-01,141,Karpuz,24,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
142,2021-01-01,142,Kavun,28,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
143,2021-01-01,143,Kayısı,54,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
144,2021-01-01,144,Kiraz,79,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
145,2021-01-01,145,Limon,17,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
146,2021-01-01,146,Mandalina,36,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
147,2021-01-01,147,Muz,90,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
148,2021-01-01,148,Nar,77,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
149,2021-01-01,149,Portakal,41,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
150,2021-01-01,150,Şeftali,49,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
151,2021-01-01,151,Üzüm,74,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
152,2021-01-01,152,Vişne,57,meyve,Yurt dışı,M,A,7.4392,14.97,1.68
153,2021-01-01,153,fındık,110,kuruyemiş,Yurt dışı,M,A,7.4392,14.97,1.68
154,2021-01-01,154,fıstık,115,kuruyemiş,Yurt dışı,M,A,7.4392,14.97,1.68
155,2021-01-01,155,kaju,100,kuruyemiş,Yurt dışı,M,A,7.4392,14.97,1.68
156,2021-01-01,156,badem,110,kuruyemiş,Yurt dışı,M,A,7.4392,14.97,1.68
157,2021-01-01,157,ceviz,120,kuruyemiş,Yurt dışı,M,A,7.4392,14.97,1.68
158,2021-01-01,158,kıyma,120,et,Yurt içi,C,A,7.4392,14.97,1.68
159,2021-01-01,159,tavuk,103,et,Yurt içi,C,A,7.4392,14.97,1.68
160,2021-01-01,160,hindi,160,et,Yurt içi,C,A,7.4392,14.97,1.68
161,2021-01-01,161,Bakla-kuru,354,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
162,2021-01-01,162,Bakla-taze,72,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
163,2021-01-01,163,Bamya,42,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
164,2021-01-01,164,Barbunya-kuru,346,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
165,2021-01-01,165,Bezelye-taze,47,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
166,2021-01-01,166,Biber-yeşil,25,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
167,2021-01-01,167,Brüksel laha.,47,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
168,2021-01-01,168,Domates,25,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
169,2021-01-01,169,Enginar,63,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
170,2021-01-01,170,Fasulye-kuru,333,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
171,2021-01-01,171,Fasulye-taze,35,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
172,2021-01-01,172,Havuç,42,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
173,2021-01-01,173,Salatalık,8,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
174,2021-01-01,174,Ispanak,25,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
175,2021-01-01,175,Kabak,19,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
176,2021-01-01,176,Karnabahar,25,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
177,2021-01-01,177,Kereviz-baş,38,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
178,2021-01-01,178,Kırmızı-pancar,42,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
179,2021-01-01,179,Lahana,24,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
180,2021-01-01,180,Mantar,16,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
181,2021-01-01,181,Marul,15,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
182,2021-01-01,182,Mercimek-kuru,351,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
183,2021-01-01,183,Nohut,376,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
184,2021-01-01,184,Pancar,42,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
185,2021-01-01,185,Patates,83,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
186,2021-01-01,186,Patlıcan,24,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
187,2021-01-01,187,Pazı,27,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
188,2021-01-01,188,Pırasa,52,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
189,2021-01-01,189,Semizotu,32,sebze ve bakliyat,Yurt içi,C,A,7.4392,14.97,1.68
190,2021-01-01,190,Buğday ekmeği,247,tahıl ve ürünleri,Yurt içi,C,A,7.4392,14.97,1.68
191,2021-01-01,191,Bulgur,350,tahıl ve ürünleri,Yurt içi,C,A,7.4392,14.97,1.68
192,2021-01-01,192,Erişte,390,tahıl ve ürünleri,Yurt içi,C,A,7.4392,14.97,1.68
193,2021-01-01,193,Makarna,390,tahıl ve ürünleri,Yurt içi,C,A,7.4392,14.97,1.68
194,2021-01-01,194,Mısır,351,tahıl ve ürünleri,Yurt içi,C,A,7.4392,14.97,1.68
195,2021-01-01,195,Mısır unu,353,tahıl ve ürünleri,Yurt içi,C,A,7.4392,14.97,1.68
196,2021-01-01,196,Nişasta,353,tahıl ve ürünleri,Yurt içi,C,A,7.4392,14.97,1.68
197,2021-01-01,197,Pilav,368,tahıl ve ürünleri,Yurt içi,C,A,7.4392,14.97,1.68
198,2021-01-01,198,Pirinç unu,353,tahıl ve ürünleri,Yurt içi,C,A,7.4392,14.97,1.68
199,2021-01-01,199,Şehriye,390,tahıl ve ürünleri,Yurt içi,C,A,7.4392,14.97,1.68
200,2021-01-01,200,Tarhana,329,tahıl ve ürünleri,Yurt içi,C,A,7.4392,14.97,1.68
201,2021-01-01,201,Yulaf unu,402,tahıl ve ürünleri,Yurt içi,C,A,7.4392,14.97,1.68
202,2021-01-01,202,yumurta,100,süt ürünleri ve kahvaltılık,Yurt içi,C,A,7.4392,14.97,1.68
203,2021-01-01,203,beyaz peynir,150,süt ürünleri ve kahvaltılık,Yurt içi,C,A,7.4392,14.97,1.68
204,2021-01-01,204,Kaşar peyniri,170,süt ürünleri ve kahvaltılık,Yurt içi,C,A,7.4392,14.97,1.68
205,2021-01-01,205,krema,200,süt ürünleri ve kahvaltılık,Yurt içi,C,A,7.4392,14.97,1.68
206,2021-01-01,206,yoğurt,90,süt ürünleri ve kahvaltılık,Yurt içi,C,A,7.4392,14.97,1.68
207,2021-01-01,207,sucuk,125,süt ürünleri ve kahvaltılık,Yurt içi,C,A,7.4392,14.97,1.68
208,2021-01-01,208,salam,125,süt ürünleri ve kahvaltılık,Yurt içi,C,A,7.4392,14.97,1.68
209,2021-01-01,209,sosis,120,süt ürünleri ve kahvaltılık,Yurt içi,C,A,7.4392,14.97,1.68
210,2021-01-01,210,tam buğday ekmek,250,süt ürünleri ve kahvaltılık,Yurt içi,C,A,7.4392,14.97,1.68
211,2021-01-01,211,kaymak,350,süt ürünleri ve kahvaltılık,Yurt içi,C,A,7.4392,14.97,1.68
212,2021-01-01,212,bal,400,süt ürünleri ve kahvaltılık,Yurt içi,C,A,7.4392,14.97,1.68
213,2021-01-01,213,tereyağ,375,süt ürünleri ve kahvaltılık,Yurt içi,C,A,7.4392,14.97,1.68
214,2021-01-01,214,Armut,57,meyve,Yurt içi,C,A,7.4392,14.97,1.68
215,2021-01-01,215,Çilek,39,meyve,Yurt içi,C,A,7.4392,14.97,1.68
216,2021-01-01,216,Elma,52,meyve,Yurt içi,C,A,7.4392,14.97,1.68
217,2021-01-01,217,Erik türleri,60,meyve,Yurt içi,C,A,7.4392,14.97,1.68
218,2021-01-01,218,İncir,80,meyve,Yurt içi,C,A,7.4392,14.97,1.68
219,2021-01-01,219,Karadut,93,meyve,Yurt içi,C,A,7.4392,14.97,1.68
220,2021-01-01,220,Karpuz,24,meyve,Yurt içi,C,A,7.4392,14.97,1.68
221,2021-01-01,221,Kavun,28,meyve,Yurt içi,C,A,7.4392,14.97,1.68
222,2021-01-01,222,Kayısı,54,meyve,Yurt içi,C,A,7.4392,14.97,1.68
223,2021-01-01,223,Kiraz,79,meyve,Yurt içi,C,A,7.4392,14.97,1.68
224,2021-01-01,224,Limon,17,meyve,Yurt içi,C,A,7.4392,14.97,1.68
225,2021-01-01,225,Mandalina,36,meyve,Yurt içi,C,A,7.4392,14.97,1.68
226,2021-01-01,226,Muz,90,meyve,Yurt içi,C,A,7.4392,14.97,1.68
227,2021-01-01,227,Nar,77,meyve,Yurt içi,C,A,7.4392,14.97,1.68
228,2021-01-01,228,Portakal,41,meyve,Yurt içi,C,A,7.4392,14.97,1.68
229,2021-01-01,229,Şeftali,49,meyve,Yurt içi,C,A,7.4392,14.97,1.68
230,2021-01-01,230,Üzüm,74,meyve,Yurt içi,C,A,7.4392,14.97,1.68
231,2021-01-01,231,Vişne,57,meyve,Yurt içi,C,A,7.4392,14.97,1.68
232,2021-01-01,232,fındık,110,kuruyemiş,Yurt içi,C,A,7.4392,14.97,1.68
233,2021-01-01,233,fıstık,115,kuruyemiş,Yurt içi,C,A,7.4392,14.97,1.68
234,2021-01-01,234,kaju,100,kuruyemiş,Yurt içi,C,A,7.4392,14.97,1.68
235,2021-01-01,235,badem,110,kuruyemiş,Yurt içi,C,A,7.4392,14.97,1.68
236,2021-01-01,236,ceviz,120,kuruyemiş,Yurt içi,C,A,7.4392,14.97,1.68
237,2021-01-01,237,kıyma,120,et,Yurt dışı,C,A,7.4392,14.97,1.68
238,2021-01-01,238,tavuk,103,et,Yurt dışı,C,A,7.4392,14.97,1.68
239,2021-01-01,239,hindi,160,et,Yurt dışı,C,A,7.4392,14.97,1.68
240,2021-01-01,240,Bakla-kuru,354,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
241,2021-01-01,241,Bakla-taze,72,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
242,2021-01-01,242,Bamya,42,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
243,2021-01-01,243,Barbunya-kuru,346,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
244,2021-01-01,244,Bezelye-taze,47,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
245,2021-01-01,245,Biber-yeşil,25,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
246,2021-01-01,246,Brüksel laha.,47,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
247,2021-01-01,247,Domates,25,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
248,2021-01-01,248,Enginar,63,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
249,2021-01-01,249,Fasulye-kuru,333,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
250,2021-01-01,250,Fasulye-taze,35,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
251,2021-01-01,251,Havuç,42,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
252,2021-01-01,252,Salatalık,8,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
253,2021-01-01,253,Ispanak,25,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
254,2021-01-01,254,Kabak,19,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
255,2021-01-01,255,Karnabahar,25,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
256,2021-01-01,256,Kereviz-baş,38,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
257,2021-01-01,257,Kırmızı-pancar,42,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
258,2021-01-01,258,Lahana,24,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
259,2021-01-01,259,Mantar,16,sebze ve bakliyat,Yurt dışı,C,A,7.4392,14.97,1.68
